beta  ances 
0.361 0.392
0.377 0.382
0.372 0.390
0.373 0.389
0.371 0.388
0.369 0.383
0.373 0.383
0.372 0.383
0.370 0.384
0.370 0.385
0.369 0.384
0.369 0.384
0.370 0.382
0.371 0.383
0.371 0.383
0.371 0.383
0.371 0.383
0.371 0.383
0.371 0.383
0.371 0.383
0.371 0.383
0.371 0.383
0.371 0.383
0.371 0.384
0.371 0.384
0.371 0.384
0.371 0.384
0.371 0.385
0.371 0.386
0.371 0.386
0.371 0.386
0.371 0.386
0.371 0.386
0.371 0.386
0.371 0.386
0.371 0.386
0.371 0.386
0.371 0.386
0.371 0.386
0.371 0.386
0.371 0.386
0.371 0.385
0.371 0.385
0.371 0.386
0.371 0.386
0.371 0.385
0.371 0.385
0.371 0.385
0.371 0.385
