beta  ances 
0.396 0.391
0.386 0.387
0.383 0.394
0.382 0.398
0.383 0.397
0.380 0.397
0.379 0.397
0.379 0.399
0.379 0.398
0.379 0.396
0.378 0.396
0.377 0.397
0.377 0.397
0.377 0.397
0.377 0.397
0.377 0.397
0.378 0.397
0.378 0.398
0.378 0.398
0.378 0.399
0.377 0.400
0.378 0.401
0.378 0.401
0.378 0.400
0.378 0.400
0.378 0.400
0.379 0.401
0.379 0.401
0.378 0.401
0.379 0.401
0.378 0.401
0.379 0.401
0.379 0.401
0.379 0.401
0.380 0.400
0.379 0.400
0.379 0.400
0.379 0.400
0.379 0.400
0.379 0.400
0.379 0.400
0.379 0.400
0.379 0.400
0.379 0.400
0.380 0.399
0.380 0.399
0.380 0.399
0.379 0.398
0.379 0.398
