beta  ances 
0.383 0.409
0.377 0.394
0.374 0.395
0.368 0.389
0.367 0.388
0.362 0.388
0.362 0.386
0.364 0.389
0.365 0.390
0.365 0.389
0.366 0.390
0.368 0.390
0.368 0.390
0.369 0.388
0.369 0.389
0.369 0.389
0.369 0.389
0.370 0.390
0.369 0.390
0.369 0.388
0.369 0.388
0.369 0.388
0.368 0.387
0.368 0.387
0.368 0.387
0.369 0.387
0.369 0.387
0.369 0.388
0.370 0.388
0.370 0.388
0.370 0.387
0.370 0.386
0.371 0.386
0.371 0.386
0.371 0.385
0.371 0.385
0.371 0.385
0.371 0.385
0.371 0.386
0.372 0.386
0.372 0.386
0.372 0.386
0.372 0.386
0.372 0.386
0.371 0.386
0.371 0.386
0.372 0.385
0.372 0.385
0.372 0.385
