"X1","X2","X3"
"H_VI_13704","0.872","0.128"
"H_VI_13706","0.618","0.382"
"H_VI_13736","0.927","0.073"
"H_VI_13762","0.829","0.171"
"H_BE_13782","0.912","0.088"
"H_BE_13821","0.995","0.005"
"H_BE_13823","0.645","0.355"
"H_BE_13833","0.866","0.134"
"H_CU_14472","0.797","0.203"
"C_FL_4923","0.328","0.672"
"C_FL_4927","0.291","0.709"
"C_FL_4959","0.247","0.753"
"C_FL_4960","0.283","0.717"
"C_VI_13696","0.203","0.797"
"C_VI_13712","0.074","0.926"
"C_VI_13714","0.273","0.727"
"C_VI_13758","0.136","0.864"
"C_BE_13792","0.298","0.702"
"C_BE_13797","0.541","0.459"
"C_BE_13827","0.441","0.559"
"C_BE_13837","0.152","0.848"
"C_CU_13901","0.301","0.699"
"C_CU_13903","0.136","0.864"
"C_CU_13905","0.357","0.643"
"C_CU_13925","0.265","0.735"
"P_FL_1037","0.339","0.661"
"P_FL_2655","0.195","0.805"
"P_FL_2699","0.374","0.626"
"P_FL_5524","0.384","0.616"
"P_FL_6895","0.324","0.676"
"P_BE_13819","0.262","0.738"
"P_CU_13919","0.307","0.693"
"P_CU_13933","0.254","0.746"
"H_FL_1302","0.367","0.633"
"H_VI_13764","0.389","0.611"
"H_BE_13778","0.447","0.553"
"H_BE_13807","0.364","0.636"
"BP_BA_1667","0.450","0.550"
"H_VI_1834","0.218","0.782"
"H_VI_1835","0.121","0.879"
"H_VI_1837","0.114","0.886"
"BP_VI_1839","0.142","0.858"
"P_CU_3070","0.818","0.182"
"P_CU_3071","0.260","0.740"
"P_BE_5993","0.184","0.816"
"H_BE_6779","0.192","0.808"
"C_BE_8867","0.611","0.389"
"P_FL_1012","0.992","0.008"
