X1,X2,X3,X4
C_BE_13792,0.012,0.721,0.267
C_BE_13797,0.002,0.483,0.515
C_BE_13827,0.002,0.587,0.411
C_BE_13837,0.082,0.799,0.12
C_BE_8867,0.001,0.413,0.585
C_CU_13901,0.006,0.725,0.269
C_CU_13903,0.045,0.853,0.101
C_CU_13905,0.002,0.675,0.323
C_CU_13925,0.052,0.716,0.233
C_FL_4923,0.004,0.7,0.296
C_FL_4927,0.004,0.74,0.256
C_FL_4959,0.074,0.712,0.214
C_FL_4960,0.013,0.736,0.251
C_VI_13696,0.067,0.762,0.171
C_VI_13712,0.04,0.921,0.039
C_VI_13714,0.011,0.749,0.24
C_VI_13758,0.012,0.888,0.099
H_BE_13778,0.061,0.517,0.422
H_BE_13782,0.007,0.092,0.901
H_BE_13807,0.491,0.174,0.335
H_BE_13821,0.001,0.007,0.992
H_BE_13823,0.296,0.076,0.628
H_BE_13833,0.019,0.127,0.855
H_BE_6779,0.798,0.046,0.156
H_CU_14472,0.219,0.001,0.779
H_FL_1302,0.357,0.304,0.339
H_VI_13704,0.006,0.136,0.858
H_VI_13706,0.39,0.01,0.6
H_VI_13736,0.006,0.077,0.917
H_VI_13762,0.05,0.135,0.815
H_VI_13764,0.369,0.271,0.361
H_VI_1834,0.512,0.304,0.184
H_VI_1835,0.651,0.267,0.082
H_VI_1837,0.563,0.361,0.077
BP_BA_1667,0.544,0.035,0.421
BP_VI_1839,0.9,0.004,0.096
P_BE_13819,0.779,0.002,0.219
P_BE_5993,0.868,0.001,0.13
P_CU_13919,0.728,0.002,0.27
P_CU_13933,0.785,0.002,0.213
P_CU_3070,0.192,0.002,0.806
P_CU_3071,0.778,0.002,0.22
P_FL_1012,0.014,0.001,0.985
P_FL_1037,0.696,0.001,0.303
P_FL_2655,0.851,0.002,0.147
P_FL_2699,0.66,0.002,0.338
P_FL_5524,0.644,0.003,0.353
P_FL_6895,0.712,0.002,0.285
