X1,X2,X3,X4
C_BE_13792,0.266,0.731,0.003
C_BE_13797,0.517,0.481,0.002
C_BE_13827,0.412,0.586,0.002
C_BE_13837,0.118,0.874,0.007
C_BE_8867,0.587,0.412,0.001
C_CU_13901,0.269,0.728,0.003
C_CU_13903,0.099,0.897,0.004
C_CU_13905,0.323,0.676,0.001
C_CU_13925,0.232,0.763,0.005
C_FL_4923,0.296,0.702,0.002
C_FL_4927,0.256,0.743,0.002
C_FL_4959,0.213,0.777,0.01
C_FL_4960,0.251,0.746,0.003
C_VI_13696,0.17,0.825,0.004
C_VI_13712,0.038,0.959,0.004
C_VI_13714,0.24,0.756,0.004
C_VI_13758,0.097,0.899,0.003
H_BE_13778,0.422,0.498,0.08
H_BE_13782,0.903,0.087,0.01
H_BE_13807,0.335,0.158,0.507
H_BE_13821,0.995,0.004,0.001
H_BE_13823,0.629,0.118,0.253
H_BE_13833,0.857,0.104,0.039
H_BE_6779,0.156,0.111,0.733
H_CU_14472,0.78,0.001,0.219
H_FL_1302,0.339,0.347,0.314
H_VI_13704,0.86,0.125,0.015
H_VI_13706,0.601,0.061,0.338
H_VI_13736,0.919,0.067,0.014
H_VI_13762,0.817,0.112,0.072
H_VI_13764,0.361,0.319,0.321
H_VI_1834,0.184,0.395,0.42
H_VI_1835,0.083,0.422,0.496
H_VI_1837,0.076,0.497,0.426
BP_BA_1667,0.42,0.016,0.564
BP_VI_1839,0.096,0.006,0.898
P_BE_13819,0.217,0.001,0.781
P_BE_5993,0.128,0.001,0.87
P_CU_13919,0.268,0.002,0.73
P_CU_13933,0.212,0.002,0.786
P_CU_3070,0.807,0.002,0.192
P_CU_3071,0.218,0.002,0.78
P_FL_1012,0.986,0.001,0.013
P_FL_1037,0.301,0.001,0.698
P_FL_2655,0.145,0.001,0.854
P_FL_2699,0.337,0.002,0.662
P_FL_5524,0.352,0.002,0.646
P_FL_6895,0.284,0.002,0.714
