X1,X2,X3,X4,X5,X6
C_BE_13792,0.245,0.166,0.574,0.015,0.001
C_BE_13797,0.484,0.016,0.487,0.012,0.001
C_BE_13827,0.381,0.025,0.569,0.024,0.001
C_BE_13837,0.099,0.392,0.467,0.041,0.001
C_BE_8867,0.553,0.004,0.439,0.004,0.001
C_CU_13901,0.247,0.158,0.586,0.008,0.001
C_CU_13903,0.082,0.2,0.588,0.128,0.001
C_CU_13905,0.298,0.101,0.596,0.003,0.001
C_CU_13925,0.213,0.225,0.478,0.083,0.001
C_FL_4923,0.274,0.136,0.581,0.007,0.002
C_FL_4927,0.232,0.145,0.615,0.007,0.001
C_FL_4959,0.193,0.3,0.491,0.014,0.001
C_FL_4960,0.229,0.183,0.584,0.002,0.001
C_VI_13696,0.151,0.393,0.444,0.011,0.001
C_VI_13712,0.014,0.414,0.471,0.101,0.001
C_VI_13714,0.219,0.168,0.579,0.033,0.001
C_VI_13758,0.079,0.366,0.544,0.01,0.001
H_BE_13778,0.393,0.034,0.469,0.04,0.064
H_BE_13782,0.883,0.079,0.011,0.025,0.002
H_BE_13807,0.311,0.338,0.11,0.129,0.112
H_BE_13821,0.973,0.002,0.022,0.001,0.001
H_BE_13823,0.607,0.37,0.002,0.019,0.002
H_BE_13833,0.834,0.137,0.011,0.004,0.014
H_BE_6779,0.137,0.104,0.003,0.717,0.039
H_CU_14472,0.758,0.043,0.001,0.019,0.18
H_FL_1302,0.314,0.07,0.286,0.105,0.224
H_VI_13704,0.839,0.101,0.049,0.002,0.009
H_VI_13706,0.58,0.362,0.001,0.051,0.006
H_VI_13736,0.899,0.033,0.015,0.052,0.001
H_VI_13762,0.795,0.106,0.004,0.092,0.003
H_VI_13764,0.337,0.007,0.183,0.367,0.107
H_VI_1834,0.161,0.067,0.008,0.759,0.004
H_VI_1835,0.06,0.012,0.002,0.925,0.001
H_VI_1837,0.054,0.014,0.015,0.915,0.003
BP_BA_1667,0.39,0.013,0.11,0.004,0.483
BP_VI_1839,0.08,0.008,0.001,0.771,0.14
P_BE_13819,0.2,0.088,0.001,0.08,0.631
P_BE_5993,0.114,0.003,0.001,0.139,0.743
P_CU_13919,0.248,0.004,0.01,0.115,0.623
P_CU_13933,0.193,0.004,0.001,0.18,0.621
P_CU_3070,0.767,0.001,0.054,0,0.178
P_CU_3071,0.2,0.059,0.001,0.114,0.627
P_FL_1012,0.949,0,0.015,0.001,0.036
P_FL_1037,0.278,0.002,0.022,0.043,0.655
P_FL_2655,0.13,0.01,0.001,0.172,0.687
P_FL_2699,0.313,0.003,0.016,0.067,0.6
P_FL_5524,0.327,0.012,0.057,0.029,0.574
P_FL_6895,0.262,0.027,0.013,0.05,0.648
