X1,X2,X3,X4,X5,X6,X7,X8
C_BE_13792,0.006,0.353,0.384,0.251,0.001,0.001,0.004
C_BE_13797,0.008,0.491,0.001,0.494,0.001,0.001,0.005
C_BE_13827,0.001,0.571,0.033,0.389,0.003,0.001,0.001
C_BE_13837,0.06,0.077,0.731,0.105,0.015,0.002,0.01
C_BE_8867,0.002,0.431,0.001,0.563,0.001,0.001,0.001
C_CU_13901,0.005,0.176,0.515,0.255,0.046,0.001,0.001
C_CU_13903,0.007,0.01,0.89,0.088,0.001,0.001,0.004
C_CU_13905,0.001,0.149,0.508,0.309,0.029,0,0.003
C_CU_13925,0.02,0.017,0.702,0.22,0.037,0.001,0.003
C_FL_4923,0.002,0.097,0.609,0.283,0.004,0.001,0.003
C_FL_4927,0.004,0.08,0.67,0.242,0.002,0,0.002
C_FL_4959,0.03,0.07,0.669,0.2,0.01,0.001,0.019
C_FL_4960,0.003,0.119,0.584,0.237,0.049,0.001,0.007
C_VI_13696,0.062,0.003,0.732,0.159,0.035,0.001,0.008
C_VI_13712,0.005,0.002,0.964,0.018,0.007,0.001,0.004
C_VI_13714,0.01,0.1,0.651,0.227,0.01,0.001,0.002
C_VI_13758,0.009,0.004,0.891,0.085,0.006,0.001,0.004
H_BE_13778,0.039,0.542,0.002,0.397,0.014,0.001,0.005
H_BE_13782,0.049,0.003,0.027,0.892,0.002,0.002,0.025
H_BE_13807,0.053,0.474,0.006,0.316,0.017,0.086,0.047
H_BE_13821,0.001,0.008,0.005,0.984,0.001,0.001,0.001
H_BE_13823,0.017,0.001,0.127,0.615,0.014,0.002,0.224
H_BE_13833,0.012,0.004,0.049,0.844,0.002,0.027,0.062
H_BE_6779,0.522,0.005,0.003,0.141,0.14,0.105,0.084
H_CU_14472,0.005,0.002,0.001,0.768,0.001,0.219,0.004
H_FL_1302,0.016,0.542,0.023,0.319,0.015,0.059,0.027
H_VI_13704,0.004,0.012,0.009,0.85,0.021,0.035,0.069
H_VI_13706,0.071,0.003,0.004,0.588,0.012,0.033,0.29
H_VI_13736,0.004,0.002,0.024,0.908,0.037,0.001,0.024
H_VI_13762,0.003,0.003,0.059,0.804,0.082,0.004,0.045
H_VI_13764,0.006,0.141,0.008,0.343,0.084,0.054,0.364
H_VI_1834,0.017,0.008,0.004,0.168,0.782,0.002,0.019
H_VI_1835,0.002,0.002,0.052,0.066,0.705,0.054,0.118
H_VI_1837,0.007,0.007,0.196,0.06,0.697,0.003,0.029
BP_BA_1667,0.003,0.356,0.003,0.4,0.006,0.231,0.002
BP_VI_1839,0.179,0.002,0.005,0.088,0.17,0.526,0.029
P_BE_13819,0.087,0.002,0.001,0.208,0.004,0.694,0.003
P_BE_5993,0.004,0.001,0.002,0.124,0.005,0.835,0.029
P_CU_13919,0.047,0.005,0.001,0.257,0.003,0.679,0.007
P_CU_13933,0.12,0.001,0.001,0.202,0.004,0.667,0.005
P_CU_3070,0,0.164,0,0.78,0.001,0.054,0.001
P_CU_3071,0.004,0.001,0.001,0.209,0.002,0.676,0.107
P_FL_1012,0.001,0.012,0,0.963,0,0.018,0.004
P_FL_1037,0.001,0.01,0.001,0.289,0.015,0.678,0.006
P_FL_2655,0.022,0.004,0.002,0.139,0.013,0.75,0.071
P_FL_2699,0.004,0.01,0.003,0.324,0.002,0.641,0.016
P_FL_5524,0.001,0.12,0.001,0.337,0.006,0.471,0.063
P_FL_6895,0.018,0.008,0.001,0.272,0.005,0.692,0.005
