X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
C_BE_13792,0.007,0.002,0.572,0.008,0.003,0.009,0.122,0.248,0.029
C_BE_13797,0.005,0.001,0.473,0.024,0.001,0.002,0.001,0.491,0.003
C_BE_13827,0.01,0.001,0.55,0.009,0.02,0.008,0.011,0.387,0.006
C_BE_13837,0.027,0.002,0.512,0.046,0.24,0.031,0.011,0.1,0.031
C_BE_8867,0.011,0.002,0.291,0.002,0.096,0.009,0.003,0.56,0.027
C_CU_13901,0.004,0,0.588,0.002,0.001,0.008,0.001,0.25,0.145
C_CU_13903,0.14,0.001,0.62,0.002,0.003,0.142,0.002,0.082,0.008
C_CU_13905,0.001,0.001,0.594,0.001,0.002,0.095,0.001,0.302,0.003
C_CU_13925,0.071,0.002,0.522,0.016,0.129,0.004,0.037,0.215,0.004
C_FL_4923,0.094,0.001,0.562,0.002,0.003,0.016,0.039,0.277,0.005
C_FL_4927,0.129,0.001,0.601,0.004,0.011,0.006,0.006,0.235,0.007
C_FL_4959,0.005,0.001,0.459,0.023,0.011,0.003,0.008,0.195,0.295
C_FL_4960,0.004,0.001,0.579,0.144,0.011,0.007,0.01,0.232,0.013
C_VI_13696,0.011,0.001,0.488,0.002,0.242,0.071,0.027,0.153,0.004
C_VI_13712,0.011,0,0.584,0.007,0.014,0.361,0.005,0.013,0.004
C_VI_13714,0.005,0.001,0.593,0.041,0.004,0.128,0.001,0.221,0.006
C_VI_13758,0.002,0,0.622,0.008,0.002,0.28,0.001,0.08,0.004
H_BE_13778,0.013,0.054,0.235,0.028,0.212,0.053,0.005,0.397,0.002
H_BE_13782,0.002,0.002,0.075,0.005,0.007,0.006,0.007,0.889,0.007
H_BE_13807,0.002,0.15,0.054,0.108,0.352,0.005,0.004,0.315,0.011
H_BE_13821,0.001,0,0.015,0.001,0.001,0.001,0.001,0.98,0
H_BE_13823,0.039,0.001,0.002,0.008,0.044,0.284,0.007,0.613,0.001
H_BE_13833,0.023,0.007,0.028,0.014,0.027,0.016,0.038,0.842,0.005
H_BE_6779,0.005,0.046,0.002,0.062,0.107,0.58,0.014,0.138,0.045
H_CU_14472,0.011,0.209,0.001,0.001,0.003,0.003,0.004,0.767,0.001
H_FL_1302,0.005,0.039,0.082,0.041,0.467,0.001,0.032,0.318,0.015
H_VI_13704,0.006,0.007,0.102,0.004,0.002,0.03,0.002,0.846,0.001
H_VI_13706,0.003,0.009,0.001,0.004,0.004,0.327,0.003,0.586,0.062
H_VI_13736,0.006,0.002,0.009,0.011,0.01,0.016,0.028,0.907,0.012
H_VI_13762,0.064,0.001,0.007,0.015,0.002,0.05,0.002,0.802,0.058
H_VI_13764,0.117,0.034,0.137,0.012,0.005,0.004,0.343,0.341,0.007
H_VI_1834,0.107,0.008,0.004,0.027,0.146,0.014,0.527,0.164,0.003
H_VI_1835,0.86,0.005,0.003,0.016,0.005,0.002,0.019,0.062,0.026
H_VI_1837,0.01,0.015,0.005,0.018,0.004,0.034,0.003,0.055,0.858
BP_BA_1667,0.003,0.452,0.063,0.003,0.006,0.001,0.059,0.398,0.015
BP_VI_1839,0.006,0.356,0.001,0.006,0.01,0.028,0.09,0.082,0.419
P_BE_13819,0.004,0.729,0,0.007,0.002,0.002,0.037,0.205,0.013
P_BE_5993,0.002,0.866,0,0.003,0.003,0.002,0.002,0.12,0.002
P_CU_13919,0.008,0.705,0.01,0.006,0.001,0.002,0.013,0.254,0.001
P_CU_13933,0.005,0.724,0,0.055,0.002,0.003,0.009,0.198,0.003
P_CU_3070,0.001,0.155,0.052,0.001,0.002,0.009,0.001,0.779,0.002
P_CU_3071,0.008,0.715,0.001,0.038,0.003,0.003,0.022,0.205,0.006
P_FL_1012,0,0.017,0.015,0.001,0.002,0.001,0,0.962,0.001
P_FL_1037,0.001,0.675,0.012,0.001,0.019,0.001,0.003,0.285,0.003
P_FL_2655,0.001,0.816,0,0.009,0.003,0.002,0.005,0.134,0.029
P_FL_2699,0.004,0.651,0.011,0.003,0.001,0.002,0.006,0.32,0.001
P_FL_5524,0.002,0.581,0.03,0.009,0.008,0.002,0.023,0.334,0.011
P_FL_6895,0.007,0.693,0.007,0.004,0.011,0.004,0.006,0.268,0.001
