"BAYES_prob"	"BAYES_log10.PO."	"BAYES_qval"	"BAYES_alpha"	"BAYES_fst"	"ID"	"Outlier_Type"
"1"	0.9996	3.3977	3.8946e-05	2.2815	0.31382	42	"Bayescan Host"
"2"	0.9924	2.1158	0.0012492	2.0771	0.28524	70	"Bayescan Host"
"3"	1	1000	0	2.3158	0.31784	72	"Bayescan Host"
"4"	0.9994	3.2215	6.2724e-05	2.2757	0.31178	73	"Bayescan Host"
"5"	0.94379	1.2251	0.0098162	1.8914	0.26223	150	"Bayescan Host"
"6"	0.93839	1.1827	0.010846	1.8568	0.25789	151	"Bayescan Host"
"7"	0.96619	1.4561	0.0057885	1.9468	0.26812	152	"Bayescan Host"
"8"	0.97179	1.5372	0.0050614	1.9627	0.27027	153	"Bayescan Host"
"9"	0.96899	1.4949	0.0054629	1.9316	0.26614	154	"Bayescan Host"
"10"	0.9966	2.467	0.00052589	2.1038	0.28826	155	"Bayescan Host"
"11"	0.69594	0.35961	0.049891	1.3309	0.20592	163	"Bayescan Host"
"12"	0.9998	3.6988	2.2227e-05	2.5641	0.35654	200	"Bayescan Host"
"13"	0.9996	3.3977	3.8946e-05	2.4957	0.34716	202	"Bayescan Host"
"14"	1	1000	0	2.7533	0.38639	203	"Bayescan Host"
"15"	1	1000	0	2.3753	0.32705	208	"Bayescan Host"
"16"	0.999	2.9995	0.00012128	2.2452	0.30846	209	"Bayescan Host"
"17"	0.9972	2.5515	0.00040271	2.1456	0.29369	210	"Bayescan Host"
"18"	1	1000	0	2.6931	0.37768	248	"Bayescan Host"
"19"	0.72715	0.42569	0.04613	1.3497	0.2058	305	"Bayescan Host"
"20"	0.9782	1.6519	0.0040163	1.9965	0.27411	461	"Bayescan Host"
"21"	0.9832	1.7672	0.0029749	1.9971	0.27438	462	"Bayescan Host"
"22"	1	1000	0	2.5903	0.36207	488	"Bayescan Host"
"23"	0.999	2.9995	0.00012128	2.1821	0.2989	605	"Bayescan Host"
"24"	0.71174	0.39254	0.048586	1.3385	0.20556	606	"Bayescan Host"
"25"	0.89338	0.92319	0.016117	1.7119	0.24128	608	"Bayescan Host"
"26"	0.73575	0.44471	0.044347	1.387	0.21076	642	"Bayescan Host"
"27"	0.75615	0.49149	0.042609	1.3781	0.20773	725	"Bayescan Host"
"28"	0.9994	3.2215	6.2724e-05	2.093	0.28494	728	"Bayescan Host"
"29"	0.94419	1.2283	0.0094843	1.8286	0.25342	747	"Bayescan Host"
"30"	0.9878	1.9082	0.0020588	2.0473	0.2818	851	"Bayescan Host"
"31"	0.78576	0.56438	0.037989	1.4503	0.21494	852	"Bayescan Host"
"32"	0.981	1.7128	0.0035725	2.0446	0.28141	854	"Bayescan Host"
"33"	0.91738	1.0455	0.013419	1.77	0.24796	862	"Bayescan Host"
"34"	0.95019	1.2805	0.00886	1.812	0.25167	985	"Bayescan Host"
"35"	0.993	2.1518	0.0010762	2.0215	0.27697	986	"Bayescan Host"
"36"	0.81956	0.65726	0.027855	1.4753	0.21545	993	"Bayescan Host"
"37"	0.9844	1.8	0.0027211	1.8985	0.26035	994	"Bayescan Host"
"38"	0.97219	1.5436	0.0048709	1.8483	0.25394	1002	"Bayescan Host"
"39"	0.96859	1.4891	0.0055667	1.8418	0.25342	1003	"Bayescan Host"
"40"	0.95379	1.3147	0.0082858	1.7991	0.24886	1007	"Bayescan Host"
"41"	0.94979	1.2768	0.0090098	1.7848	0.24711	1008	"Bayescan Host"
"42"	0.92599	1.0973	0.012525	1.7993	0.2518	1010	"Bayescan Host"
"43"	0.88278	0.87684	0.01942	1.6601	0.23574	1011	"Bayescan Host"
"44"	0.88318	0.87852	0.018808	1.6375	0.23187	1012	"Bayescan Host"
"45"	0.9828	1.7568	0.0031033	1.9755	0.27198	1013	"Bayescan Host"
"46"	0.987	1.8803	0.0022161	2.0132	0.27625	1014	"Bayescan Host"
"47"	0.86617	0.81106	0.021431	1.6569	0.23692	1015	"Bayescan Host"
"48"	0.86577	0.80956	0.021775	1.6523	0.23621	1016	"Bayescan Host"
"49"	0.87097	0.82933	0.020405	1.6253	0.23148	1017	"Bayescan Host"
"50"	0.981	1.7128	0.0035725	1.9914	0.27394	1018	"Bayescan Host"
"51"	0.9964	2.442	0.00054511	2.0647	0.28327	1019	"Bayescan Host"
"52"	0.9944	2.2493	0.00074571	2.0689	0.28414	1020	"Bayescan Host"
"53"	0.83697	0.71043	0.024401	1.5583	0.22508	1021	"Bayescan Host"
"54"	0.9874	1.894	0.0021108	1.972	0.26999	1022	"Bayescan Host"
"55"	0.9894	1.97	0.001707	1.9853	0.27144	1023	"Bayescan Host"
"56"	0.9868	1.8736	0.0022694	1.9758	0.27077	1024	"Bayescan Host"
"57"	0.99	1.9955	0.0016148	1.9979	0.27338	1025	"Bayescan Host"
"58"	0.9866	1.8669	0.0023232	2.0401	0.28	1026	"Bayescan Host"
"59"	0.9882	1.9229	0.0018559	2.0428	0.28097	1027	"Bayescan Host"
"60"	0.89558	0.93332	0.015824	1.6546	0.23372	1028	"Bayescan Host"
"61"	0.87277	0.83633	0.020068	1.6761	0.23878	1029	"Bayescan Host"
"62"	0.87057	0.82778	0.02074	1.6986	0.24206	1030	"Bayescan Host"
"63"	0.80156	0.60631	0.033756	1.5497	0.22724	1031	"Bayescan Host"
"64"	0.81116	0.63302	0.030569	1.5695	0.22914	1032	"Bayescan Host"
"65"	0.81836	0.65374	0.028302	1.589	0.23104	1033	"Bayescan Host"
"66"	0.82156	0.66316	0.027408	1.5882	0.23055	1034	"Bayescan Host"
"67"	0.81656	0.6485	0.028751	1.5851	0.23087	1036	"Bayescan Host"
"68"	0.83477	0.70347	0.02482	1.6145	0.23364	1037	"Bayescan Host"
"69"	0.9972	2.5515	0.00040271	2.1746	0.29874	1038	"Bayescan Host"
"70"	0.9926	2.1275	0.0011794	2.0698	0.28404	1039	"Bayescan Host"
"71"	0.9934	2.1775	0.00094076	2.0905	0.28675	1040	"Bayescan Host"
"72"	0.998	2.698	0.00030075	2.1876	0.30016	1041	"Bayescan Host"
"73"	0.9808	1.7082	0.0036411	1.9246	0.26388	1042	"Bayescan Host"
"74"	0.9968	2.4934	0.00048927	2.0584	0.28128	1044	"Bayescan Host"
"75"	0.996	2.3961	0.00064498	2.0319	0.27775	1045	"Bayescan Host"
"76"	0.95739	1.3516	0.0071741	1.8058	0.24926	1047	"Bayescan Host"
"77"	0.95559	1.3328	0.0077259	1.8095	0.24992	1048	"Bayescan Host"
"78"	0.80656	0.62009	0.033292	1.5099	0.2206	1049	"Bayescan Host"
"79"	0.83017	0.68914	0.02609	1.5461	0.22445	1050	"Bayescan Host"
"80"	0.96439	1.4327	0.006017	1.8444	0.25397	1053	"Bayescan Host"
"81"	0.88718	0.89561	0.017888	1.6612	0.23518	1054	"Bayescan Host"
"82"	0.88458	0.88444	0.018499	1.6585	0.23494	1055	"Bayescan Host"
"83"	0.88298	0.87768	0.019114	1.7484	0.24702	1100	"Bayescan Host"
"84"	0.94219	1.2121	0.01015	1.8041	0.25004	1101	"Bayescan Host"
"85"	0.9924	2.1158	0.0012492	2.0908	0.28693	1104	"Bayescan Host"
"86"	0.96319	1.4178	0.0061377	2.012	0.27838	1233	"Bayescan Host"
"87"	1	1000	0	2.6618	0.3728	1355	"Bayescan Host"
"88"	0.96179	1.4009	0.0063826	2.0084	0.27769	1375	"Bayescan Host"
"89"	1	1000	0	3.3049	0.48264	1376	"Bayescan Host"
"90"	0.9934	2.1775	0.00094076	2.1105	0.28967	1392	"Bayescan Host"
"91"	1	1000	0	2.5912	0.36094	1393	"Bayescan Host"
"92"	1	1000	0	2.5776	0.35818	1394	"Bayescan Host"
"93"	0.9826	1.7517	0.0031681	1.9552	0.26855	1397	"Bayescan Host"
"94"	0.97299	1.5567	0.0046806	1.9204	0.26408	1594	"Bayescan Host"
"95"	0.90058	0.95705	0.015262	1.6877	0.23799	1595	"Bayescan Host"
"96"	0.9894	1.97	0.001707	2.0712	0.28432	1606	"Bayescan Host"
"97"	0.9992	3.0965	9.2701e-05	2.308	0.31744	1607	"Bayescan Host"
"98"	0.9956	2.3545	0.00068876	2.129	0.29159	1626	"Bayescan Host"
"99"	0.9976	2.6187	0.00035578	2.1237	0.2906	1629	"Bayescan Host"
"100"	0.79876	0.5987	0.034689	1.4622	0.21556	1636	"Bayescan Host"
"101"	0.73135	0.43493	0.044941	1.261	0.19317	1660	"Bayescan Host"
"102"	0.93599	1.165	0.011564	1.8408	0.25632	1682	"Bayescan Host"
"103"	1	1000	0	2.7753	0.39008	1883	"Bayescan Host"
"104"	0.9998	3.6988	2.2227e-05	2.316	0.31874	1992	"Bayescan Host"
"105"	0.9958	2.3748	0.0006664	2.1844	0.30013	2066	"Bayescan Host"
"106"	1	1000	0	2.6184	0.36522	2134	"Bayescan Host"
"107"	0.9858	1.8414	0.00249	2.0139	0.27551	2195	"Bayescan Host"
"108"	0.95459	1.3227	0.0080061	1.791	0.24728	2223	"Bayescan Host"
"109"	0.76535	0.51345	0.041541	1.3882	0.20808	2224	"Bayescan Host"
"110"	0.9902	2.0044	0.0015711	1.979	0.27067	2226	"Bayescan Host"
"111"	1	1000	0	2.3898	0.32908	2288	"Bayescan Host"
"112"	0.9962	2.4185	0.00062452	2.0616	0.28211	2340	"Bayescan Host"
"113"	1	1000	0	2.6277	0.36681	2354	"Bayescan Host"
"114"	0.95459	1.3227	0.0080061	1.9111	0.26462	2406	"Bayescan Host"
"115"	0.988	1.9155	0.0019574	2.031	0.27897	2407	"Bayescan Host"
"116"	0.9976	2.6187	0.00035578	2.2248	0.30502	2408	"Bayescan Host"
"117"	1	1000	0	2.809	0.39584	2424	"Bayescan Host"
"118"	1	1000	0	2.7847	0.3913	2436	"Bayescan Host"
"119"	1	1000	0	2.6109	0.36362	2437	"Bayescan Host"
"120"	0.95879	1.3667	0.0069033	1.8573	0.25639	2438	"Bayescan Host"
"121"	0.89078	0.91146	0.017291	1.6693	0.23594	2439	"Bayescan Host"
"122"	1	1000	0	2.699	0.37839	2441	"Bayescan Host"
"123"	1	1000	0	2.6436	0.36882	2625	"Bayescan Host"
"124"	0.998	2.698	0.00030075	2.1568	0.29468	2626	"Bayescan Host"
"125"	0.977	1.6281	0.0041753	1.9664	0.27028	2637	"Bayescan Host"
"126"	0.93759	1.1767	0.011201	1.7272	0.2398	2639	"Bayescan Host"
"127"	1	1000	0	2.6487	0.36994	2882	"Bayescan Host"
"128"	1	1000	0	2.7016	0.3789	2896	"Bayescan Host"
"129"	1	1000	0	2.7023	0.37881	2922	"Bayescan Host"
"130"	1	1000	0	2.7891	0.39286	2927	"Bayescan Host"
"131"	1	1000	0	2.706	0.37982	3117	"Bayescan Host"
"132"	0.77636	0.5405	0.038999	1.4365	0.21428	3210	"Bayescan Host"
"133"	0.9994	3.2215	6.2724e-05	2.3148	0.31851	3268	"Bayescan Host"
"134"	0.79376	0.58531	0.03655	1.3679	0.20301	3305	"Bayescan Host"
"135"	0.81156	0.63415	0.030115	1.4516	0.21278	3306	"Bayescan Host"
"136"	0.9766	1.6204	0.0043376	1.9198	0.26354	3425	"Bayescan Host"
"137"	0.9974	2.5838	0.00037074	2.178	0.29863	3661	"Bayescan Host"
"138"	1	1000	0	2.6888	0.37703	3870	"Bayescan Host"
"139"	0.95259	1.303	0.0087105	1.803	0.24929	3893	"Bayescan Host"
"140"	0.9988	2.9202	0.00016215	2.2785	0.31362	4442	"Bayescan Host"
"141"	1	1000	0	2.6845	0.37635	4443	"Bayescan Host"
"142"	1	1000	0	2.7415	0.38516	4444	"Bayescan Host"
"143"	1	1000	0	2.6923	0.37769	4445	"Bayescan Host"
"144"	0.994	2.2191	0.00077663	2.1163	0.28991	4446	"Bayescan Host"
"145"	1	1000	0	2.6611	0.37257	4469	"Bayescan Host"
"146"	0.9982	2.7439	0.00025253	2.2481	0.30875	4470	"Bayescan Host"
"147"	0.9988	2.9202	0.00016215	2.2397	0.30815	4473	"Bayescan Host"
"148"	0.9818	1.7319	0.0033002	1.9404	0.26591	4475	"Bayescan Host"
"149"	1	1000	0	2.4864	0.34258	4476	"Bayescan Host"
"150"	0.9884	1.9304	0.0018054	1.9799	0.27111	4624	"Bayescan Host"
"151"	0.9856	1.8353	0.0025465	1.9769	0.27144	4627	"Bayescan Host"
"152"	0.9838	1.7833	0.0027838	1.9435	0.26676	4628	"Bayescan Host"
"153"	0.9998	3.6988	2.2227e-05	2.5885	0.35996	4850	"Bayescan Host"
"154"	1	1000	0	2.6789	0.37515	4851	"Bayescan Host"
"155"	0.82336	0.66851	0.026966	1.5933	0.23115	4853	"Bayescan Host"
"156"	1	1000	0	2.6847	0.3763	4855	"Bayescan Host"
"157"	0.9816	1.727	0.0033676	1.9141	0.26262	4884	"Bayescan Host"
"158"	0.993	2.1518	0.0010762	2.0852	0.28585	4885	"Bayescan Host"
"159"	0.95699	1.3474	0.0073098	1.8091	0.24971	4888	"Bayescan Host"
"160"	0.9962	2.4185	0.00062452	2.1027	0.28804	4976	"Bayescan Host"
"161"	0.9918	2.0825	0.0013596	2.0374	0.27945	5312	"Bayescan Host"
"162"	0.9934	2.1775	0.00094076	2.0341	0.27847	5313	"Bayescan Host"
"163"	0.96679	1.4641	0.0056768	1.9667	0.27152	5314	"Bayescan Host"
