Trembl_Hit	Protein_ID	V2
A0A011PE12	Sfitti_g15284	
A0A016S1D2	Sfitti_g9686	
A0A016UCQ0	Sfitti_g1508	GO:0016021
A0A016UCQ0	Sfitti_g4844	GO:0016021
A0A016USK3	Sfitti_g11197	
A0A016UWP3	Sfitti_g14341	
A0A022LB21	Sfitti_g16202	GO:0005524; GO:0004674
A0A022Q789	Sfitti_g18463	
A0A023BAB4	Sfitti_g14510	GO:0005737; GO:0003747
A0A023JN89	Sfitti_g23918	GO:0005681; GO:0017070; GO:0000398
A0A059X7I3	Sfitti_g12604	GO:0005524; GO:0004146; GO:0050661; GO:0004798; GO:0006233; GO:0006235; GO:0006545; GO:0046654
A0A060BJD1	Sfitti_g13758	GO:0005737; GO:0005874; GO:0005525; GO:0003924; GO:0005200; GO:0007017
A0A061E2K2	Sfitti_g2654	GO:0005789; GO:0016021; GO:0016757
A0A061QJK6	Sfitti_g6530	GO:0005509
A0A061S439	Sfitti_g22454	GO:0016021
A0A061SLR9	Sfitti_g2909	
A0A067BW43	Sfitti_g9977	GO:0046872; GO:0004252
A0A067C8I8	Sfitti_g18004	GO:0003824; GO:0008152
A0A067QJU5	Sfitti_g8955	GO:0016021
A0A068V109	Sfitti_g3579	GO:0000139; GO:0016021; GO:0005351
A0A068WUS1	Sfitti_g16417	GO:0016021; GO:0019905; GO:0006836
A0A068WUS1	Sfitti_g5095	GO:0016021; GO:0019905; GO:0006836
A0A069IC43	Sfitti_g80	
A0A069SCR1	Sfitti_g8962	GO:0016021
A0A074YZ59	Sfitti_g22164	
A0A074YZ59	Sfitti_g9563	
A0A074YZ59	Sfitti_g8283	
A0A074YZ59	Sfitti_g12935	
A0A075AS86	Sfitti_g16778	
A0A077TSD8	Sfitti_g21697	
A0A077XFM2	Sfitti_g15262	GO:0016021
A0A078ADJ6	Sfitti_g21122	GO:0005840; GO:0003735; GO:0003746; GO:0006355
A0A078ASJ1	Sfitti_g1385	
A0A081BC43	Sfitti_g4865	GO:0003824; GO:0008152
A0A085M6M2	Sfitti_g6008	GO:0016021
A0A085N7C6	Sfitti_g21395	GO:0003676
A0A087RCZ5	Sfitti_g16472	
A0A087SAF5	Sfitti_g3141	GO:0000439; GO:0016021; GO:0003676; GO:0008270; GO:0006289; GO:0006351
A0A087T712	Sfitti_g19334	GO:0003677; GO:0003887; GO:0000166; GO:0006260
A0A087TB85	Sfitti_g17051	GO:0003676; GO:0015074
A0A087TTT7	Sfitti_g15548	GO:0003676
A0A088MHG6	Sfitti_g21412	GO:0016301
A0A088MHG6	Sfitti_g15884	GO:0016301
A0A091FL06	Sfitti_g11367	
A0A091GL57	Sfitti_g20076	
A0A091J4R7	Sfitti_g3551	GO:0016021
A0A093GN33	Sfitti_g6167	GO:0003810; GO:0018149
A0A094DMZ5	Sfitti_g22700	GO:0016021
A0A094KPJ5	Sfitti_g914	
A0A094ZV78	Sfitti_g10317	GO:0016021
A0A096NQ45	Sfitti_g2755	GO:0005759; GO:0004521; GO:0003727; GO:0008270
A0A098G661	Sfitti_g8231	GO:0008080
A0A098R560	Sfitti_g3335	GO:0015930; GO:0006537
A0A0A0AS03	Sfitti_g18673	
A0A0A7RWB5	Sfitti_g22504	
A0A0B2UZG7	Sfitti_g8625	GO:0016301
A0A0B2V6U8	Sfitti_g20493	
A0A0B4HTZ3	Sfitti_g4575	
A0A0C1JXN6	Sfitti_g1668	GO:0016021
A0A0C2UNL2	Sfitti_g14944	GO:0003886; GO:0009307
A0A0C3DF32	Sfitti_g6128	GO:0004364
A0A0C3QDU7	Sfitti_g13913	
A0A0C7CIR1	Sfitti_g22346	
A0A0D2KAA4	Sfitti_g12652	
A0A0D2KAA4	Sfitti_g15142	
A0A0D2WHK0	Sfitti_g2844	
A0A0D2WPY4	Sfitti_g7092	GO:0016779; GO:0009058
A0A0D2WWA9	Sfitti_g5328	GO:0005968; GO:0008318; GO:0018344
A0A0D7W6G5	Sfitti_g9083	GO:0016021; GO:0008146; GO:0016051
A0A0D9XBG8	Sfitti_g17916	GO:0016021; GO:0008271
A0A0E4HBN4	Sfitti_g18964	
A0A0F2PYP2	Sfitti_g3806	GO:0005622; GO:0003677; GO:0003700; GO:0006351
A0A0F4QZF3	Sfitti_g6401	GO:0016491
A0A0G1U262	Sfitti_g20799	GO:0004066; GO:0006529
A0A0G2K713	Sfitti_g4991	GO:0005777; GO:0010181; GO:0052853; GO:0005102; GO:0019395
A0A0G2KF20	Sfitti_g15169	GO:0016021
A0A0G2KN30	Sfitti_g13692	GO:0016021
A0A0G2KPJ0	Sfitti_g16508	GO:0016021
A0A0G2KPJ0	Sfitti_g21722	GO:0016021
A0A0G2KRS5	Sfitti_g9249	GO:0016021
A0A0G2KXY2	Sfitti_g16858	GO:0016021
A0A0G2KY94	Sfitti_g17126	GO:0016021
A0A0G2KY94	Sfitti_g11671	GO:0016021
A0A0G2KY94	Sfitti_g8019	GO:0016021
A0A0G2KY94	Sfitti_g21456	GO:0016021
A0A0G4E9J9	Sfitti_g4393	GO:0008168; GO:0003723
A0A0G4ECU0	Sfitti_g7721	GO:0016763; GO:0009116; GO:0043101; GO:0046110
A0A0G4EEB3	Sfitti_g850	GO:0005524; GO:0003676
A0A0G4EEB3	Sfitti_g7819	GO:0005524; GO:0003676
A0A0G4EGS9	Sfitti_g21404	GO:0051287; GO:0003979
A0A0G4EGS9	Sfitti_g344	GO:0051287; GO:0003979
A0A0G4EGS9	Sfitti_g22391	GO:0051287; GO:0003979
A0A0G4EI57	Sfitti_g1314	GO:0030286; GO:0005524; GO:0016887; GO:0003777; GO:0007018
A0A0G4EI57	Sfitti_g20104	GO:0030286; GO:0005524; GO:0016887; GO:0003777; GO:0007018
A0A0G4EM32	Sfitti_g971	GO:0016021; GO:0051537; GO:0050660; GO:0016491
A0A0G4EM32	Sfitti_g19427	GO:0016021; GO:0051537; GO:0050660; GO:0016491
A0A0G4EMM7	Sfitti_g4000	
A0A0G4ESC6	Sfitti_g23911	
A0A0G4ESC6	Sfitti_g1354	
A0A0G4EU58	Sfitti_g4458	
A0A0G4EWX1	Sfitti_g1488	GO:0008408; GO:0003676
A0A0G4EYA0	Sfitti_g2382	
A0A0G4EZ61	Sfitti_g434	GO:0005737; GO:0005524; GO:0051082; GO:0006457
A0A0G4EZP7	Sfitti_g3556	GO:0016021; GO:0005507; GO:0008131; GO:0048038; GO:0009308
A0A0G4F0G1	Sfitti_g16511	GO:0016021; GO:0005509; GO:0005216
A0A0G4F0G1	Sfitti_g22654	GO:0016021; GO:0005509; GO:0005216
A0A0G4F0G1	Sfitti_g7828	GO:0016021; GO:0005509; GO:0005216
A0A0G4F0G1	Sfitti_g10726	GO:0016021; GO:0005509; GO:0005216
A0A0G4F0V6	Sfitti_g478	
A0A0G4F1C0	Sfitti_g22879	GO:0016787
A0A0G4F3X3	Sfitti_g17164	
A0A0G4F4Y7	Sfitti_g17431	GO:0030870; GO:0016887; GO:0006281; GO:0000723
A0A0G4FF30	Sfitti_g7478	
A0A0G4FF46	Sfitti_g22728	GO:0008017
A0A0G4FF46	Sfitti_g575	GO:0008017
A0A0G4FHD3	Sfitti_g81	GO:0003676; GO:0015074
A0A0G4FML1	Sfitti_g466	GO:0017134
A0A0G4FTT1	Sfitti_g18546	GO:0015930; GO:0051536; GO:0016639; GO:0006537
A0A0G4FTT1	Sfitti_g21353	GO:0015930; GO:0051536; GO:0016639; GO:0006537
A0A0G4FTT1	Sfitti_g7324	GO:0015930; GO:0051536; GO:0016639; GO:0006537
A0A0G4FTT1	Sfitti_g7325	GO:0015930; GO:0051536; GO:0016639; GO:0006537
A0A0G4FTT1	Sfitti_g12774	GO:0015930; GO:0051536; GO:0016639; GO:0006537
A0A0G4FXY8	Sfitti_g17136	GO:0050660; GO:0010181; GO:0016040; GO:0005506; GO:0051536; GO:0006537
A0A0G4G0G0	Sfitti_g11003	GO:0003824; GO:0008152
A0A0G4G1L1	Sfitti_g9359	
A0A0G4G2M4	Sfitti_g10848	GO:0003676
A0A0G4G4B3	Sfitti_g7337	GO:0005840; GO:0003735; GO:0006412
A0A0G4G650	Sfitti_g20	GO:0005525
A0A0G4G933	Sfitti_g2855	GO:0005856; GO:0097730; GO:0090090
A0A0G4GAI3	Sfitti_g604	GO:0003723; GO:0006396
A0A0G4GBX4	Sfitti_g23552	GO:0016021
A0A0G4GBX4	Sfitti_g2729	GO:0016021
A0A0G4GC61	Sfitti_g2365	GO:0016021
A0A0G4GC61	Sfitti_g1340	GO:0016021
A0A0G4GDL6	Sfitti_g6114	GO:0004190
A0A0G4GDL7	Sfitti_g4451	
A0A0G4GDM0	Sfitti_g3870	
A0A0G4GFL0	Sfitti_g134	GO:0006464
A0A0G4GIK1	Sfitti_g1406	
A0A0G4GTE0	Sfitti_g9610	GO:0035091
A0A0G4HFM5	Sfitti_g8287	GO:0005096
